plot_id,category,current_status,figure_path,figure_exists,source_artifacts,sources_exist,allowed_interpretation,blocked_overclaim,evidence,next_action
task_counts_by_family,generated_descriptive,generated_descriptive,reports/figures/task_counts_by_family.svg,true,data/task_metadata.csv;reports/metr_style_report.md,true,Accepted-core family composition only.,"Do not infer model performance, family difficulty, or representativeness from task-count bars.","accepted_tasks=6; accepted_families={""algorithm_correctness"": 1, ""direct_theorem_proving"": 1, ""informal_spec_to_formal"": 1, ""invariant_verification_ml_optimization"": 1, ""proof_repair_codebase"": 1, ""small_formal_library_construction"": 1}",Regenerate with python scripts/generate_report.py after metadata changes.
task_counts_by_bucket,generated_descriptive,generated_descriptive,reports/figures/task_counts_by_bucket.svg,true,data/task_metadata.csv;reports/metr_style_report.md,true,Release task-count composition by human-time bucket.,Do not treat author-estimated bucket counts as measured time-horizon performance.,"release_tasks=14; release_buckets={""T1"": 8, ""T2"": 5, ""T3"": 1}",Regenerate after task-status or human-time metadata changes.
top_skills,generated_descriptive,generated_descriptive,reports/figures/top_skills.svg,true,data/task_metadata.csv;reports/metr_style_report.md,true,Most frequent declared skills in the release set.,Do not read skill-frequency bars as validated capability coverage or model failure frequencies.,release_tasks=14,Use diagnostic and construct-validity audits for capability claims.
run_rows_by_model,generated_provenance,generated_provenance,reports/figures/run_rows_by_model.svg,true,data/run_results.csv;reports/model_run_analysis.md,true,"Committed run-row provenance by model/source, including local QA rows.",Do not read row-count bars as pass-rate evidence or model ranking.,run_rows=71; provider_rows=3,Use model-result summaries only after coverage thresholds are met.
task_minutes_by_bucket,generated_descriptive,generated_descriptive,reports/figures/task_minutes_by_bucket.svg,true,data/task_metadata.csv;data/human_time_calibration_audit.csv,true,Reviewer-estimated p50 minutes by task bucket.,Do not claim calibrated human-time scaling from this figure without independent timing observations.,human_time_rows=26; accepted_tasks=6,Replace or supplement reviewer estimates after independent timing collection.
scaffold_pass_at_k_plot,blocked_performance,blocked_by_evidence,reports/figures/pass_at_k_by_scaffold.svg,false,data/statistical_reporting_audit.csv;reports/statistical_reporting_audit.md;data/model_result_summary.csv,true,No scaffold performance plot is generated from the undercovered smoke rows.,A mean pass@10-by-scaffold plot would imply comparisons the data do not support.,"observed_scaffolds=[""one-shot""]; planned_scaffolds=[""lookup"", ""lookup_unlimited"", ""one-shot""]; accepted_noninfra_rows=1","Populate all one-shot, lookup, and lookup_unlimited cells before generating scaffold-effect plots."
bucket_success_plot,blocked_performance,blocked_by_evidence,reports/figures/success_by_human_time_bucket.svg,false,data/statistical_reporting_audit.csv;reports/statistical_reporting_audit.md;data/model_result_summary.csv,true,No success-by-time-bucket plot is generated from the undercovered smoke rows.,Current rows cannot estimate success by human-time bucket.,"observed_buckets=[""T2""]; accepted_noninfra_rows=1; accepted_tasks=6",Run the planned sweep and add T3/T4 accepted tasks before plotting time-horizon success curves.
family_success_plot,blocked_performance,blocked_by_evidence,reports/figures/success_by_family.svg,false,data/statistical_reporting_audit.csv;reports/statistical_reporting_audit.md;data/model_result_summary.csv,true,No family success plot is generated from the undercovered smoke rows.,Current rows cannot estimate success by task family.,"observed_families=[""proof_repair_codebase""]; accepted_families=[""algorithm_correctness"", ""direct_theorem_proving"", ""informal_spec_to_formal"", ""invariant_verification_ml_optimization"", ""proof_repair_codebase"", ""small_formal_library_construction""]",Run provider rows across the accepted core before family-level summaries.
failure_taxonomy_plot,blocked_performance,blocked_by_evidence,reports/figures/failure_labels_by_scaffold.svg,false,data/statistical_reporting_audit.csv;reports/statistical_reporting_audit.md;data/model_result_summary.csv,true,No failure-taxonomy distribution plot is generated from the undercovered smoke rows.,The current failure taxonomy is useful for transcript QA but too small for distributional claims.,"noninfra_failure_rows=1; labels={""proof_debugging"": 1}",Collect provider failures across the planned scaffold sweep and review labels before plotting.
problem_pass_vs_time,blocked_performance,blocked_by_evidence,reports/figures/problem_pass_vs_human_minutes.svg,false,data/model_result_summary.csv;data/human_time_calibration_audit.csv;data/statistical_design_thresholds.csv,true,No problem-level pass-rate versus human-time plot is generated yet.,Do not imply a time-horizon trend from one covered accepted-core non-infra cell and author-estimated times.,planned_cells=18; covered_noninfra=1; human_time_rows=26,Run covered scaffold sweeps and collect independent timing before generating this plot.
