task_id,hidden_assets,internal_summary
lt-001,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject weakened append theorem and check downstream consequences"
lt-002,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject weakened counter theorem and check downstream consequences"
lt-003,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject weakened queue repair and check nested enqueue consequences"
lt-004,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden semantic pins reject vacuous prefix formalization"
lt-005,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins check capped projection semantics and idempotence consequence"
lt-101,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject empty-accumulator-only proof and check accumulator consequence"
lt-102,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject unnecessary all-some precondition and check mixed options"
lt-103,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject leaf-only theorem and check sample tree behavior"
lt-104,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject empty-list-only repair and check pushAll consequences"
lt-105,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject singleton-only repair and check increment composition"
lt-106,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden semantic pins reject reversed suffix relation"
lt-107,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden semantic pins reject vacuous contains-all relation"
lt-108,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden semantic pins reject vacuous adjacent-order relation"
lt-109,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject always-subtract spend semantics"
lt-110,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject unnecessary gradient precondition"
lt-111,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject missing upper clip branch"
lt-112,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject projection-style vector add"
lt-113,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject reversed log append semantics"
lt-114,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject identity mapSucc semantics"
lt-115,"hidden/Reference.lean; hidden/PinCheck.lean","reference builds; hidden pins reject extra-hypothesis cancellation proof"
