check_id,scope,status,evidence,failure_examples,required_action,source_artifacts
authorization_matrix_loaded,claim_authorization,pass,"authorization rows=12; statuses={""allowed"": 1, ""allowed_with_caveat"": 6, ""blocked"": 5}; blocked=5; caveated=6",[],Regenerate scripts/generate_claim_authorization_matrix.py and inspect blocked/caveated coverage.,data/claim_authorization_matrix.csv;reports/claim_authorization_matrix.md
main_report_authorization_section,main_report,pass,section_present=True; claim_ids_in_matrix=12; missing_claim_ids=[],[],Regenerate reports/metr_style_report.md after claim authorization and ensure every authorization row is visible.,reports/metr_style_report.md;data/claim_authorization_matrix.csv
abstract_scope_boundaries,main_report,pass,front-matter scope phrases checked before the first task table,[],"Keep locked-benchmark, sample-size, human-time, and provider-smoke limitations in the report abstract/front matter.",reports/metr_style_report.md
run_result_boundary_wording,main_report,pass,committed-run section checked for local-QA and smoke-row boundaries,[],Keep local QA and tiny provider smoke rows explicitly separated from benchmark performance claims.,reports/metr_style_report.md;data/run_results.csv
claim_ledger_blocks_overclaims,main_report,pass,claim ledger checked for explicit not-supported locked-benchmark and frontier-performance rows,[],"Keep tempting overclaims in the claim ledger as unsupported, not as conclusions.",reports/metr_style_report.md;reports/claim_evidence_audit.md
concise_report_scope_and_length,concise_report,pass,concise report exists=True; line_count=203; missing_scope_phrases=[],[],Regenerate scripts/generate_concise_report.py and keep the reviewer-facing report concise and claim-bounded.,reports/concise_metr_report.md;scripts/generate_concise_report.py
blocked_phrase_context_scan,reports_and_readme,pass,"blocked-claim phrase contexts scanned across reports\metr_style_report.md, reports\concise_metr_report.md, reports\evidence_appendix.md, reports\report_source_traceability.md, and README.md; unsafe_contexts=0",[],"Rewrite any blocked-claim phrase so the local context clearly says it is unsupported, blocked, missing, or future work.",reports/metr_style_report.md;reports/concise_metr_report.md;reports/evidence_appendix.md;reports/report_source_traceability.md;README.md;data/claim_authorization_matrix.csv
readme_scope_boundaries,readme,pass,"README checked for locked-benchmark, model-result, and credential-scope boundaries",[],Keep the README top-level scope aligned with the report's claim authorization matrix.,README.md
limitations_cover_blockers,main_report,pass,limitations section checked against blocked authorization themes,[],"Keep task-count, T4, independent-timing, provider-smoke, hosted-QA, and locked-benchmark caveats in the limitations section.",reports/metr_style_report.md;reports/threats_to_validity.md
report_length_and_appendix_boundary,main_report,pass,main report line_count=412; markdown_table_rows=141; evidence_appendix_exists=True; evidence_appendix_line_count=1435,[],Keep the main report skimmable and keep row-level generated tables in reports/evidence_appendix.md.,reports/metr_style_report.md;reports/evidence_appendix.md
